id, text, label
sp_19-03,Which people might believe Hong Kong is pretty crowded but Delhi is more crowded,1
sp_19-03,And it's very crowded even as compared to Hong Kong,1
sp_19-03,And the main thing about Delhi is that it's pretty hot,1
sp_19-02,But it was way different than the places I've been because I have only been to in Asia like it was a bit different to see what the culture was like there over there,1
sp_18-12,So I guess the pressure comes from that just wanting to be good at something,1
sp_18-12,And it still hurts when you lose,1
sp_18-12,But still I like competitions I mean I think you still want to win,1
sp_18-12,But then as soon as you realize that you can't beat them you try to win at something else,1
sp_18-12,And it it turned like you know at first it was academic pressure you want to compete with people with grades,1
sp_18-12,I guess most of the pressure came from myself of wanting to like compete with other people,1
sp_18-11,Actually I guess those are my main worries,1
sp_18-11,Whereas I feel like you know other students who are going to like PhDs they still get to learn stuff and get to be like top of their top of their field when they come out,1
sp_18-11,Like there is no room for expansion,1
sp_18-11,Other worries is just I'm worried about going into like a dead end career,1
sp_18-11,So I'll try to avoid that,1
sp_18-11,And I don't want to be like twentytwo years and still asking my parents for money,1
sp_18-11,So I'm worried that I won't be able to make ends meet,1
sp_18-11,But still like I have got to pay for my own rent got to pay for my own food,1
sp_18-11,I don't know if that's a good or a bad salary because in Hong Kong thirteen K is considered quite low,1
sp_18-11,I mean they are paying me thirteen K in Shanghai,1
sp_18-11,But I guess my main worry right now is just graduate pay,1
sp_18-11,Well love life I gave up on that long time ago,1
sp_18-09,So you know you learn not to care so yeah,1
sp_18-09,There are like hundreds of other like starving Somali children going through way worse,1
sp_18-09,Other than that yeah I mean I guess my attitude when going to an exam is like you know if you fail it what's the worst that can happen,1
sp_18-09,And I guess that's my way of coping with stress was to just not care,1
sp_18-09,So I tried like you know be better at something than wasn't just academics,1
sp_18-09,And then I ended up being a TA for that and I have been doing that for three years,1
sp_18-09,Well back when I was a first year this is this course called airship where they taught us how to build an app controller ship in the whole semester and that was a project,1
sp_18-09,So I started doing a bunch of other stuff so a few hackathons design competitions and also I did this like first year engineering course,1
sp_18-09,In terms of dealing with the stress I think at some point I realized that no matter how hard I studied I would never be as good in terms of like academics as the other people,1
sp_18-09,So I really like embedded systems so that's why I got that's why I ended up like working my job is like embedded systems related,1
sp_18-09,So they put me in ECE but I still tried to make the best out of that and I ended up liking certain parts of it,1
sp_18-09,But I try to make the best of it and in the beginning I wanted to do mechanical engineering but my GPA was too crap,1
sp_18-09,But the States was too expensive and this was my only offer in Hong Kong so I ended up coming here,1
sp_18-09,I think had I been given the choice I would have probaby went to the States and did something like psychology,1
sp_18-08,I got two and half weeks and I still haven't started looking at so kind of screwed,1
sp_18-08,Legendary but most of it is done and only a final exam is due,1
sp_18-08,And I didn't sleep for about like two days for that,1
sp_18-08,I mean the last major piece of work we had to hand in was the interactive systems presentation,1
sp_18-06,So that was a bit of stress but not the first time I not the first time I have been stressed here so it's all good,1
sp_18-06,And I think I did pretty poorly in the midterm as well,1
sp_18-06,So I found it really hard to like catch up,1
sp_18-06,And they were teaching about machine learning and all that and I have never learned any of that or had the right background for it either,1
sp_18-06,I think the course I found most difficult would probably be interactive systems because it was just a lot of information in a very short time,1
sp_18-06,And the courses I'm doing I did multimedia computing and also intro into interactive systems and also signal processing as well,1
sp_18-06,I'm a fourth year undergraduate student in the electronic engineering department,1
sp_18-06,So I'm currently what am I currently doing here,1
sp_18-03,I don't know like if I was to prefer another place I would probably prefer somewhere a bit slower like maybe Canada or something,1
sp_18-03,But it can get stressful as well and just being here for that many years I think I get the general impression that people here are kind of like rude,1
sp_18-03,Some things I like about Hong Kong is you're always busy,1
sp_18-02,But it's really a bit too slow for my liking the pace of life there,1
sp_18-01,I guess yeah nothing recently no good movies or TV shows,1
sp_18-01,TV series don't have time for them,1
sp_18-01,I haven't seen many yeah haven't seen many good movies because most modern movies are crap,1
sp_17-12,It's kind of a motivation that keeps you moving forward instead of being lazy and maybe stepping backwards,1
sp_17-12,So it's kind of balanced the pressure so,1
sp_17-12,But actually I think in my point of view every different every individual has its own strenghths and weaknesses,1
sp_17-12,And actually there is of course there is peer pressure because I the friends I used to I most the most of my friends are really excellent students in UST,1
sp_17-12,We can provide necessary support but when you like grow up like after eighteen when you are grown man you take responsibility for yourself and you bear the consequences of every choices you make,1
sp_17-11,So that's the most thing that makes me anxious,1
sp_17-11,So that's my major concern and I need to put effort in it,1
sp_17-11,Or maybe become a research assistant because I think it's better than being employed for now,1
sp_17-11,For the current one I think the most stressful thing is about whether I can work well with the professor and get the MPhil offer,1
sp_17-10,Yeah so actually I think that's basically the situation,1
sp_17-10,But I don't like it,1
sp_17-10,It's not saying that for local international do not have excellent students,1
sp_17-10,For the friends that I have in UST I actually for myself I don't distinguish people by where they come from,1
sp_17-09,The entry barrier is higher so mathematics yeah,1
sp_17-09,It's like if you take like biochemistry or biology or physics major it's kind of harder to change into other areas,1
sp_17-09,And because why I come to UST I still haven't decided which area it is that I'm interested in,1
sp_17-09,So it's kind of risky,1
sp_17-09,So it's more like it's like the risk is lower because if you spend time on your SAT and you didn't do it well and it will also affects your gao kao because you simply do not have enough time,1
sp_17-09,You don't need extra time,1
sp_17-09,So basically they don't want to they don't want me to receive that kind of education so,1
sp_17-09,And the the problem is that when I first come UST I didn't I fail to realize it in my first year of studies,1
sp_17-07,It's not very stable and not like the kind of job that you can do after you have attend a high level of degrees,1
sp_17-07,So actually another reason is that the previous the previous one is kind of joke actually,1
sp_17-07,And I I don't like to be the least of least educated person in my family,1
sp_17-07,It's like my parents and my grandparents are professors in universities so it's kind of strange that I only have an undergraduate degree,1
sp_17-07,And it's better and I think one reason I may think of that is basically because my background my family background,1
sp_17-07,But I it's not actually it's not very satisfying because I also wishes to continue my study,1
sp_16-12,And from the community here I have I don't feel any direct pressure but I just just feel like I just feel like they want me to interact more and yeah that's about it,1
sp_16-12,So my parents have always pressured me to do well and explore my surroundings,1
sp_16-12,My parents do my parents have always pressured me to do well in both academics and you know outside academics,1
sp_16-11,So yeah these are the two most pressing issues right now,1
sp_16-11,And I don't know whether this semester it's gonna go below I'm gonna fall below the border or I'm gonna stay or move up,1
sp_16-11,I've been on the borderline for for so for first class you need a three point five right and I'm right at three point five,1
sp_16-11,I've been able to get an internship at a small startup in Science Park but it's unpaid,1
sp_16-11,I haven't been able to get a job like a proper job,1
sp_16-11,I guess the most I mean there are a lot of issues that that are there but I guess the most pressing one now would be my plans for the summer,1
sp_16-10,I've been trying since last winter but you know it's pretty tough because you need to practice your pronounciation because that's where that's the part that's really tricky because of the nine accents that are there in the language,1
sp_16-09,The reason why I chose UST is because I knew that I wanted to do computer science wanted to get into computer science,1
sp_16-09,But yeah that's about it,1
sp_16-09,I could definitely do better there is a lot of room for improvement,1
sp_16-09,I would I could definitely do better in terms of both academics and my social life,1
sp_16-08,One is on the eighteenth and that's for databases,1
sp_16-08,But other than that I don't have any deadlines I just have exams coming up,1
sp_16-08,Thankfully I did the homework yesterday and all that is left to do is submit it,1
sp_16-08,I the most recent deadline I have is for for natural language processing for the natural language processing course which is tonight,1
sp_16-07,If I decide to really continue my studies,1
sp_16-07,And I also have plans I also have plans of doing MPhil not a PhD but just an MPhil,1
sp_16-07,And to sustain in a city like this one you have to be you have to be loaded basically,1
sp_16-07,And even if you do those are just for startups which don't pay that much,1
sp_16-07,Because you won't find the usual tech jobs in Hong Kong,1
sp_16-07,But I would like to work in a bank or in the fintech industry because that's I believe that's where you know that's where the money is at,1
sp_16-07,Everyone wants a job,1
sp_16-07,After after graduation I would like I would like a job like who wouldn't,1
sp_16-06,And and it really and it really hinders my ability to actually understand and retain what's taught in class,1
sp_16-06,And therefore as a result I'm I feel like I'm not really learning anything new which is frustrating,1
sp_16-06,And I believe that there are a lot of gaps in my knowledge that haven't been filled,1
sp_16-06,And the most difficult course for me would be this one because well the material is kind of tough,1
sp_16-06,I'm taking technical communication operating systems database management systems natural language processing and the beloved COMP4901i,1
sp_16-06,One of them is technical communication,1
sp_16-06,Okay so I'm taking I'm taking five courses this semester,1
sp_16-05,But I I I I don't hate the food here I like it,1
sp_16-05,Like ever since coming here I haven't really had food outside LG7 and LG1 and Einstein and the usual Ebeneezers,1
sp_16-05,I used to be but not anymore,1
sp_16-05,Okay well to be honest I cannot cook but and I don't consider myself a big food enthusiast,1
sp_16-03,And there's so much more order here than there is back home so yeah,1
sp_16-03,I obviously prefer I would obviously anyone would obviously prefer Hong Kong over that place because well it's far less chaotic,1
sp_16-03,And the reason why I don't like my current hometown is because of poor governance and the sheer chaos that plagues the entire city,1
sp_16-03,And well it's to be honest I don't really like anything about that place,1
sp_16-02,And it was it was pretty short it was like what a week,1
sp_16-02,And it was it was mostly it was a family trip so we didn't really go out much,1
sp_16-02,I haven't been on any trips recently but I can tell you my last trip was to was to Singapore,1
sp_15-12,I think I'm sane because of them,1
sp_15-12,My parents don't give me that much pressure,1
sp_15-12,So even when you are doing projects with people some people want to be better like or that competitive spirit that's there is because I'm not a very competitive person so for me it makes me a little tense when other people are like that,1
sp_15-12,So you feel the competition and I guess just the competitive pressure is what what makes life a little haywire in in this university,1
sp_15-11,That's that worries me because because there are generally too many things and if I do give the time to the competitions and the presentations and everything then I miss out on a lot of other things so yeah,1
sp_15-11,Job I am not so worried about because I have kind of like it is open ended but I still have some options so I am not worried about it,1
sp_15-11,So that is very turbulent,1
sp_15-11,But the friends that are not in UST they do not understand why I'm so busy all the time,1
sp_15-11,Because it is very difficult to like give time to your parents and your friends and everyone,1
sp_15-11,Thanks to UST like relationships is like really turbulent because of UST I think,1
sp_15-10,So there are a lot of things that I don't personally enjoy,1
sp_15-10,And that is one of the reasons like I don't know whether I want to stay in Hong Kong for that long because language is a big deal,1
sp_15-10,I have tried in the past to be integrated with the locals but it is harder because of the language barrier and everything,1
sp_15-10,It's not a very big community but but it is there and it helps,1
sp_15-09,But initially I didn't adapt so well but then over time it was okay,1
sp_15-08,I don't know how to do that,1
sp_15-08,And then I have the presentation tomorrow so I have to kind of prepare for the presentation during that time sadly,1
sp_15-08,Apart from that today is extremely stressful for me because like I have to go for an orientation then I have to go for a class which is like a class slash dinner,1
sp_15-08,And the lie detection presentation is tomorrow so we are finalizing that as well,1
sp_15-08,And as we haven't been able to put that much work in it it's more stressful,1
sp_15-08,So yeah a little stressed about that because we really wanted to win it,1
sp_15-08,But sadly we did not get much time to do that,1
sp_15-08,And we were planning on doing a lot of great things for President's Cup like expanding our database and like make it much better,1
sp_15-08,We qualified for President's Cup for our FYP so we have to thank you so we have to do the presentation tomorrow,1
sp_15-07,But I am not so sure about that right now because I don't because I feel that the technology they use I might not be so interested in it,1
sp_15-06,So yeah that is one of the harder courses for me this semester,1
sp_15-06,So a lot of internal working of the material is left to us which is so we have to work really hard for that,1
sp_15-02,There is nobody seems to be at work ever,1
sp_14-12,And but yeah I don't think that is doing a very good thing to my GPA so I might do an extra semester,1
sp_14-11,And yeah I could also use a better GPA but I don't see that happening anytime soon,1
sp_14-10,They don't speak Chinese,1
sp_14-10,I don't speak Chinese so I hang around with the people like me,1
sp_14-10,No because I hang around with more internationals because I am not really a good local,1
sp_14-09,Major computer science I don't know I just wanted to do that when I was in high school,1
sp_14-08,And then I have five finals fun,1
sp_14-08,I have this project well an AI project that I haven't started yet and it's due in four days,1
sp_14-08,Let's see what else yeah I have another project,1
sp_14-08,Yeah I just had one deadline fortysix minutes ago,1
sp_14-07,And I don't know I guess I'll just keep applying to jobs over there,1
sp_14-07,But my plan is to go back to the States and work because honestly the pay in Hong Kong is just too low for software engineers I think yeah,1
sp_14-07,Okay so it really depends on when I graduate,1
sp_14-06,The other courses are okay though,1
sp_14-06,And I would have to say software engineering is probably the hardest course I've taken because it's more than all of my other courses combined so yeah not really that fun,1
sp_14-06,Okay so I'm doing four no five COMP courses and one math course,1
sp_14-05,I don't know,1
sp_14-04,I used to do more sports but then I got lazy so,1
sp_14-04,Well all my leisure time so far this semester has been going to TV shows so yeah,1
sp_14-04,I haven't had that much leisure time,1
sp_14-04,And I'm not really sure actually,1
sp_14-03,And it's a bit harder to get around in the Bay Area,1
sp_14-03,Life is not as fast paced there even though it is Silicon Valley,1
sp_14-03,Okay I would say for living I prefer my hometown because it is much more laid back,1
sp_14-01,So yeah not really the best time to be doing this stuff but they are all about different things so,1
sp_03-12,It's part of life,1
sp_03-12,It's all in the mind if it's your daily routine is not pressure,1
sp_03-12,But I am glad for that now and I see our relatively philosophically you are only have as much pressure as you create by yourself,1
sp_03-12, I mean  my mother in particular was always pressurizing me to study a lot so I think I can take a break when I came to university,1
sp_03-12,And I am the oldest kid so I am supposed to earn and my brother can study and the pressure is there self created that way,1
sp_03-12,So our family is in middle of financial crunch,1
sp_03-12,But they tell me I must study because of financial concerns,1
sp_03-11,I don't know what to beat in last semester nor do I want to fail for the first time,1
sp_03-11,Graduation I am actually doubtful because of math,1
sp_03-11,And I am glad for that there is no space,1
sp_03-10b,So it's your propagative to go and talk with them,1
sp_03-10a,So as a kid is more difficult there than here,1
